type,flagname,default,min,max
intx,MultiArrayExpandLimit,6.0,3.0,9.0
uintx,NUMAChunkResizeWeight,20.0,10.0,30.0
uintx,NUMAInterleaveGranularity,2097152.0,1048576.0,3145728.0
uintx,NUMAPageScanRate,256.0,128.0,384.0
uintx,NUMASpaceResizeRate,1073741824.0,536870912.0,1610612736.0
uintx,NewRatio,2.0,1.0,3.0
uintx,NewSize,42467328.0,21233664.0,63700992.0
uintx,NewSizeThreadIncrease,5320.0,2660.0,7980.0
intx,NmethodSweepActivity,10.0,5.0,15.0
intx,NmethodSweepCheckInterval,5.0,2.5,7.5
intx,NmethodSweepFraction,16.0,8.0,24.0
intx,NodeLimitFudgeFactor,2000.0,1000.0,3000.0
uintx,NumberOfGCLogFiles,0.0,0.0,0.0
intx,NumberOfLoopInstrToAlign,4.0,2.0,6.0
intx,ObjectAlignmentInBytes,8.0,4.0,12.0
uintx,OldPLABSize,1024.0,512.0,1536.0
uintx,OldPLABWeight,50.0,25.0,75.0
uintx,OldSize,85458944.0,42729472.0,128188416.0
intx,OnStackReplacePercentage,140.0,70.0,210.0
intx,OptoLoopAlignment,16.0,8.0,24.0
uintx,PLABWeight,75.0,37.5,112.5
intx,ParGCArrayScanChunk,50.0,25.0,75.0
uintx,ParGCDesiredObjsFromOverflowList,20.0,10.0,30.0
uintx,ParallelGCBufferWastePct,10.0,5.0,15.0
uintx,ParallelGCThreads,4.0,2.0,6.0
uintx,ParallelOldDeadWoodLimiterMean,50.0,25.0,75.0
uintx,ParallelOldDeadWoodLimiterStdDev,80.0,40.0,120.0
intx,PartialPeelNewPhiDelta,0.0,0.0,0.0
uintx,PausePadding,1.0,0.5,1.5
intx,PerBytecodeRecompilationCutoff,200.0,100.0,300.0
intx,PerBytecodeTrapLimit,4.0,2.0,6.0
intx,PerMethodRecompilationCutoff,400.0,200.0,600.0
intx,PerMethodTrapLimit,100.0,50.0,150.0
intx,PerfDataMemorySize,32768.0,16384.0,49152.0
intx,PerfDataSamplingInterval,50.0,25.0,75.0
intx,PerfMaxStringConstLength,1024.0,512.0,1536.0
intx,PreInflateSpin,10.0,5.0,15.0
intx,PrefetchCopyIntervalInBytes,576.0,288.0,864.0
intx,PrefetchFieldsAhead,1.0,0.5,1.5
intx,PrefetchScanIntervalInBytes,576.0,288.0,864.0
uintx,PretenureSizeThreshold,0.0,0.0,0.0
intx,PrintCMSStatistics,0.0,0.0,0.0
intx,PrintFLSCensus,0.0,0.0,0.0
intx,PrintFLSStatistics,0.0,0.0,0.0
intx,PrintSafepointStatisticsCount,300.0,150.0,450.0
intx,PrintSafepointStatisticsTimeout,-1.0,-1.5,-0.5
uintx,ProcessDistributionStride,4.0,2.0,6.0
intx,ProfileIntervalsTicks,100.0,50.0,150.0
intx,ProfileMaturityPercentage,20.0,10.0,30.0
uintx,PromotedPadding,3.0,1.5,4.5
uintx,QueuedAllocationWarningCount,0.0,0.0,0.0
uintx,RTMRetryCount,5.0,2.5,7.5
intx,ReadPrefetchInstr,0.0,0.0,0.0
intx,RefDiscoveryPolicy,0.0,0.0,0.0
uintx,ReservedCodeCacheSize,251658240.0,125829120.0,377487360.0
intx,SafepointPollOffset,256.0,128.0,384.0
intx,SafepointSpinBeforeYield,2000.0,1000.0,3000.0
intx,SafepointTimeoutDelay,10000.0,5000.0,15000.0
intx,SelfDestructTimer,0.0,0.0,0.0
uintx,SharedBaseAddress,34359738368.0,17179869184.0,51539607552.0
uintx,SharedMiscCodeSize,122880.0,61440.0,184320.0
uintx,SharedMiscDataSize,4194304.0,2097152.0,6291456.0
uintx,SharedReadOnlySize,16777216.0,8388608.0,25165824.0
uintx,SharedReadWriteSize,16777216.0,8388608.0,25165824.0
intx,SoftRefLRUPolicyMSPerMB,1000.0,500.0,1500.0
intx,StackShadowPages,20.0,10.0,30.0
intx,StackYellowPages,2.0,1.0,3.0
intx,StarvationMonitorInterval,200.0,100.0,300.0
uintx,StringDeduplicationAgeThreshold,3.0,1.5,4.5
uintx,SurvivorPadding,3.0,1.5,4.5
uintx,SurvivorRatio,8.0,4.0,12.0
intx,SuspendRetryCount,50.0,25.0,75.0
intx,SuspendRetryDelay,5.0,2.5,7.5
intx,SyncFlags,0.0,0.0,0.0
intx,SyncVerbose,0.0,0.0,0.0
uintx,TLABAllocationWeight,35.0,17.5,52.5
uintx,TLABRefillWasteFraction,64.0,32.0,96.0
uintx,TLABSize,0.0,0.0,0.0
uintx,TLABWasteIncrement,4.0,2.0,6.0
uintx,TLABWasteTargetPercent,1.0,0.5,1.5
uintx,TargetPLABWastePct,10.0,5.0,15.0
uintx,TargetSurvivorRatio,50.0,25.0,75.0
uintx,TenuredGenerationSizeIncrement,20.0,10.0,30.0
uintx,TenuredGenerationSizeSupplement,80.0,40.0,120.0
uintx,TenuredGenerationSizeSupplementDecay,2.0,1.0,3.0
intx,ThreadPriorityPolicy,0.0,0.0,0.0
uintx,ThreadSafetyMargin,52428800.0,26214400.0,78643200.0
intx,ThreadStackSize,1024.0,512.0,1536.0
uintx,ThresholdTolerance,10.0,5.0,15.0
intx,Tier0BackedgeNotifyFreqLog,10.0,5.0,15.0
intx,Tier0InvokeNotifyFreqLog,7.0,3.5,10.5
