type,flagname,default
uintx,NewSizeThreadIncrease,5320
intx,NmethodSweepActivity,10
intx,NmethodSweepCheckInterval,5
intx,NmethodSweepFraction,16
intx,NodeLimitFudgeFactor,2000
uintx,NumberOfGCLogFiles,0
intx,NumberOfLoopInstrToAlign,4
intx,ObjectAlignmentInBytes,8
uintx,OldPLABSize,1024
uintx,OldPLABWeight,50
uintx,OldSize,85458944
bool,OmitStackTraceInFastThrow,true
ccstrlist,OnError
ccstrlist,OnOutOfMemoryError
intx,OnStackReplacePercentage,140
bool,OptimizeFill,true
bool,OptimizePtrCompare,true
bool,OptimizeStringConcat,true
bool,OptoBundling,false
intx,OptoLoopAlignment,16
bool,OptoScheduling,false
uintx,PLABWeight,75
bool,PSChunkLargeArrays,true
intx,ParGCArrayScanChunk,50
uintx,ParGCDesiredObjsFromOverflowList,20
bool,ParGCTrimOverflow,true
bool,ParGCUseLocalOverflow,false
uintx,ParallelGCBufferWastePct,10
uintx,ParallelGCThreads,4
bool,ParallelGCVerbose,false
uintx,ParallelOldDeadWoodLimiterMean,50
uintx,ParallelOldDeadWoodLimiterStdDev,80
bool,ParallelRefProcBalancingEnabled,true
bool,ParallelRefProcEnabled,false
bool,PartialPeelAtUnsignedTests,true
bool,PartialPeelLoop,true
intx,PartialPeelNewPhiDelta,0
uintx,PausePadding,1
intx,PerBytecodeRecompilationCutoff,200
intx,PerBytecodeTrapLimit,4
intx,PerMethodRecompilationCutoff,400
intx,PerMethodTrapLimit,100
bool,PerfAllowAtExitRegistration,false
bool,PerfBypassFileSystemCheck,false
intx,PerfDataMemorySize,32768
intx,PerfDataSamplingInterval,50
ccstr,PerfDataSaveFile
bool,PerfDataSaveToFile,false
bool,PerfDisableSharedMem,false
intx,PerfMaxStringConstLength,1024
intx,PreInflateSpin,10
bool,PreferInterpreterNativeStubs,false
intx,PrefetchCopyIntervalInBytes,576
intx,PrefetchFieldsAhead,1
intx,PrefetchScanIntervalInBytes,576
bool,PreserveAllAnnotations,false
bool,PreserveFramePointer,false
uintx,PretenureSizeThreshold,0
bool,PrintAdaptiveSizePolicy,false
bool,PrintCMSInitiationStatistics,false
intx,PrintCMSStatistics,0
bool,PrintClassHistogram,false
bool,PrintClassHistogramAfterFullGC,false
bool,PrintClassHistogramBeforeFullGC,false
bool,PrintCodeCache,false
bool,PrintCodeCacheOnCompilation,false
bool,PrintCommandLineFlags,false
bool,PrintCompilation,false
bool,PrintConcurrentLocks,false
intx,PrintFLSCensus,0
intx,PrintFLSStatistics,0
bool,PrintFlagsFinal,true
bool,PrintFlagsInitial,false
bool,PrintGC,false
bool,PrintGCApplicationConcurrentTime,false
bool,PrintGCApplicationStoppedTime,false
bool,PrintGCCause,true
bool,PrintGCDateStamps,false
bool,PrintGCDetails,false
bool,PrintGCID,false
bool,PrintGCTaskTimeStamps,false
bool,PrintGCTimeStamps,false
bool,PrintHeapAtGC,false
bool,PrintHeapAtGCExtended,false
bool,PrintHeapAtSIGBREAK,true
bool,PrintJNIGCStalls,false
bool,PrintJNIResolving,false
bool,PrintOldPLAB,false
bool,PrintOopAddress,false
bool,PrintPLAB,false
bool,PrintParallelOldGCPhaseTimes,false
bool,PrintPromotionFailure,false
bool,PrintReferenceGC,false
bool,PrintSafepointStatistics,false
intx,PrintSafepointStatisticsCount,300
intx,PrintSafepointStatisticsTimeout,-1
bool,PrintSharedArchiveAndExit,false
bool,PrintSharedDictionary,false
bool,PrintSharedSpaces,false
bool,PrintStringDeduplicationStatistics,false
bool,PrintStringTableStatistics,false
bool,PrintTLAB,false
bool,PrintTenuringDistribution,false
bool,PrintTieredEvents,false
bool,PrintVMOptions,false
bool,PrintVMQWaitTime,false
bool,PrintWarnings,true
uintx,ProcessDistributionStride,4
bool,ProfileInterpreter,true
bool,ProfileIntervals,false
intx,ProfileIntervalsTicks,100
intx,ProfileMaturityPercentage,20
bool,ProfileVM,false
bool,ProfilerPrintByteCodeStatistics,false
bool,ProfilerRecordPC,false
uintx,PromotedPadding,3
uintx,QueuedAllocationWarningCount,0
uintx,RTMRetryCount,5
bool,RangeCheckElimination,true
intx,ReadPrefetchInstr,0
bool,ReassociateInvariants,true
bool,ReduceBulkZeroing,true
bool,ReduceFieldZeroing,true
bool,ReduceInitialCardMarks,true
bool,ReduceSignalUsage,false
intx,RefDiscoveryPolicy,0
bool,ReflectionWrapResolutionErrors,true
bool,RegisterFinalizersAtInit,true
bool,RelaxAccessControlCheck,false
ccstr,ReplayDataFile
bool,RequireSharedSpaces,false
uintx,ReservedCodeCacheSize,251658240
bool,ResizeOldPLAB,true
bool,ResizePLAB,true
bool,ResizeTLAB,true
bool,RestoreMXCSROnJNICalls,false
bool,RestrictContended,true
bool,RewriteBytecodes,true
bool,RewriteFrequentPairs,true
intx,SafepointPollOffset,256
intx,SafepointSpinBeforeYield,2000
bool,SafepointTimeout,false
intx,SafepointTimeoutDelay,10000
bool,ScavengeBeforeFullGC,true
intx,SelfDestructTimer,0
uintx,SharedBaseAddress,34359738368
ccstr,SharedClassListFile
uintx,SharedMiscCodeSize,122880
uintx,SharedMiscDataSize,4194304
uintx,SharedReadOnlySize,16777216
uintx,SharedReadWriteSize,16777216
bool,ShowMessageBoxOnError,false
intx,SoftRefLRUPolicyMSPerMB,1000
bool,SpecialEncodeISOArray,true
bool,SplitIfBlocks,true
intx,StackRedPages,1
intx,StackShadowPages,20
bool,StackTraceInThrowable,true
intx,StackYellowPages,2
bool,StartAttachListener,false
intx,StarvationMonitorInterval,200
bool,StressLdcRewrite,false
uintx,StringDeduplicationAgeThreshold,3
uintx,StringTableSize,60013
bool,SuppressFatalErrorMessage,false
uintx,SurvivorPadding,3
uintx,SurvivorRatio,8
intx,SuspendRetryCount,50
intx,SuspendRetryDelay,5
intx,SyncFlags,0
ccstr,SyncKnobs
intx,SyncVerbose,0
uintx,TLABAllocationWeight,35
uintx,TLABRefillWasteFraction,64
uintx,TLABSize,0
bool,TLABStats,true
uintx,TLABWasteIncrement,4
uintx,TLABWasteTargetPercent,1
uintx,TargetPLABWastePct,10
uintx,TargetSurvivorRatio,50
uintx,TenuredGenerationSizeIncrement,20
uintx,TenuredGenerationSizeSupplement,80
uintx,TenuredGenerationSizeSupplementDecay,2
intx,ThreadPriorityPolicy,0
bool,ThreadPriorityVerbose,false
uintx,ThreadSafetyMargin,52428800
intx,ThreadStackSize,1024
uintx,ThresholdTolerance,10
intx,Tier0BackedgeNotifyFreqLog,10
intx,Tier0InvokeNotifyFreqLog,7
intx,Tier0ProfilingStartPercentage,200
intx,Tier23InlineeNotifyFreqLog,20
intx,Tier2BackEdgeThreshold,0
intx,Tier2BackedgeNotifyFreqLog,14
intx,Tier2CompileThreshold,0
intx,Tier2InvokeNotifyFreqLog,11
intx,Tier3BackEdgeThreshold,60000
intx,Tier3BackedgeNotifyFreqLog,13
intx,Tier3CompileThreshold,2000
intx,Tier3DelayOff,2
intx,Tier3DelayOn,5
intx,Tier3InvocationThreshold,200
intx,Tier3InvokeNotifyFreqLog,10
intx,Tier3LoadFeedback,5
intx,Tier3MinInvocationThreshold,100
intx,Tier4BackEdgeThreshold,40000
intx,Tier4CompileThreshold,15000
intx,Tier4InvocationThreshold,5000
intx,Tier4LoadFeedback,3
intx,Tier4MinInvocationThreshold,600
bool,TieredCompilation,true
intx,TieredCompileTaskTimeout,50
intx,TieredRateUpdateMaxTime,25
intx,TieredRateUpdateMinTime,1
intx,TieredStopAtLevel,4
bool,TimeLinearScan,false
bool,TraceBiasedLocking,false
bool,TraceClassLoading,false
bool,TraceClassLoadingPreorder,false
bool,TraceClassPaths,false
bool,TraceClassResolution,false
bool,TraceClassUnloading,false
bool,TraceDynamicGCThreads,false
bool,TraceGen0Time,false
bool,TraceGen1Time,false
ccstr,TraceJVMTI
bool,TraceLoaderConstraints,false
bool,TraceMetadataHumongousAllocation,false
bool,TraceMonitorInflation,false
bool,TraceParallelOldGCTasks,false
intx,TraceRedefineClasses,0
bool,TraceSafepointCleanupTime,false
bool,TraceSharedLookupCache,false
bool,TraceSuspendWaitFailures,false
intx,TrackedInitializationLimit,50
bool,TransmitErrorReport,false
bool,TrapBasedNullChecks,false
bool,TrapBasedRangeChecks,false
intx,TypeProfileArgsLimit,2
uintx,TypeProfileLevel,111
intx,TypeProfileMajorReceiverPercent,90
intx,TypeProfileParmsLimit,2
intx,TypeProfileWidth,2
intx,UnguardOnExecutionViolation,0
bool,UnlinkSymbolsALot,false
bool,Use486InstrsOnly,false
bool,UseAES,true
bool,UseAESIntrinsics,true
intx,UseAVX,1
bool,UseAdaptiveGCBoundary,false
