type,flagname,default
bool,UseAdaptiveSizePolicy,true
bool,UseAdaptiveSizePolicyFootprintGoal,true
bool,UseAdaptiveSizePolicyWithSystemGC,false
bool,UseAddressNop,false
bool,UseAltSigs,false
bool,UseAutoGCSelectPolicy,false
bool,UseBiasedLocking,true
bool,UseBimorphicInlining,true
bool,UseBoundThreads,true
bool,UseCMSBestFit,true
bool,UseCMSCollectionPassing,true
bool,UseCMSCompactAtFullCollection,true
bool,UseCMSInitiatingOccupancyOnly,false
bool,UseCodeCacheFlushing,true
bool,UseCompiler,true
bool,UseCompilerSafepoints,true
bool,UseCompressedOops,false
bool,UseConcMarkSweepGC,false
bool,UseCondCardMark,false
bool,UseCountLeadingZerosInstruction,false
bool,UseCounterDecay,true
bool,UseDivMod,true
bool,UseDynamicNumberOfGCThreads,false
bool,UseFPUForSpilling,false
bool,UseFastAccessorMethods,true
bool,UseFastEmptyMethods,true
bool,UseFastJNIAccessors,true
bool,UseFastStosb,false
bool,UseG1GC,false
bool,UseGCLogFileRotation,false
bool,UseGCOverheadLimit,true
bool,UseGCTaskAffinity,false
bool,UseHeavyMonitors,false
bool,UseHugeTLBFS,false
bool,UseInlineCaches,true
bool,UseInterpreter,true
bool,UseJumpTables,true
bool,UseLWPSynchronization,true
bool,UseLargePages,true
bool,UseLargePagesIndividualAllocation,false
bool,UseLinuxPosixThreadCPUClocks,true
bool,UseLockedTracing,false
bool,UseLoopCounter,true
bool,UseLoopPredicate,true
bool,UseMaximumCompactionOnSystemGC,true
bool,UseMembar,false
bool,UseNUMA,false
bool,UseNUMAInterleaving,false
bool,UseNewLongLShift,false
bool,UseOSErrorReporting,false
bool,UseOldInlining,true
bool,UseOnStackReplacement,true
bool,UseOnlyInlinedBimorphic,true
bool,UseOprofile,false
bool,UseOptoBiasInlining,true
bool,UsePPCLWSYNC,true
bool,UsePSAdaptiveSurvivorSizePolicy,true
bool,UseParNewGC,false
bool,UseParallelGC,false
bool,UseParallelOldGC,false
bool,UsePerfData,true
bool,UsePopCountInstruction,false
bool,UseRDPCForConstantTableBase,false
bool,UseSHM,false
intx,UseSSE,99
bool,UseSSE42Intrinsics,false
bool,UseSerialGC,false
bool,UseSharedSpaces,true
bool,UseSignalChaining,true
bool,UseSplitVerifier,true
bool,UseStoreImmI16,true
bool,UseStringCache,false
bool,UseSuperWord,true
bool,UseTLAB,true
bool,UseThreadPriorities,true
bool,UseTypeProfile,true
bool,UseUnalignedLoadStores,false
bool,UseVMInterruptibleIO,false
bool,UseVectoredExceptions,false
bool,UseXMMForArrayCopy,false
bool,UseXmmI2D,false
bool,UseXmmI2F,false
bool,UseXmmLoadAndClearUpper,true
bool,UseXmmRegToRegMoveAll,false
bool,VMThreadHintNoPreempt,false
intx,VMThreadPriority,-1
intx,VMThreadStackSize,1024
intx,ValueMapInitialSize,11
intx,ValueMapMaxLoopSize,8
intx,ValueSearchLimit,1000
bool,VerifyMergedCPBytecodes,true
intx,WorkAroundNPTLTimedWaitHang,1
uintx,YoungGenerationSizeIncrement,20
uintx,YoungGenerationSizeSupplement,80
uintx,YoungGenerationSizeSupplementDecay,8
uintx,YoungPLABSize,4096
bool,ZeroTLAB,false
intx,hashCode,0
